city,date,temp,o3,dewpoint,pm10,season,yday,month,year
chic,1997-01-01,36,5.659256204,37.5,13.052268266,Winter,1,Jan,1997
chic,1997-01-02,45,5.525416704,47.25,41.948600221,Winter,2,Jan,1997
chic,1997-01-03,40,6.288547904,38,27.041750906,Winter,3,Jan,1997
chic,1997-01-04,51.5,7.537758024,45.5,25.072572963,Winter,4,Jan,1997
chic,1997-01-05,27,20.7607976377,11.25,15.343120765,Winter,5,Jan,1997
chic,1997-01-06,17,14.94087424,5.75,9.36465498,Winter,6,Jan,1997
chic,1997-01-07,16,11.920985459,7,20.228427832,Winter,7,Jan,1997
chic,1997-01-08,19,8.678477254,17.75,33.1348192868,Winter,8,Jan,1997
chic,1997-01-09,26,13.355891853,24,12.118380932,Winter,9,Jan,1997
chic,1997-01-10,16,10.448263924,5.375,24.761534146,Winter,10,Jan,1997
chic,1997-01-11,1.5,15.866093735,-6.625,18.126150978,Winter,11,Jan,1997
chic,1997-01-12,1,15.115289543,-8.875,16.013769562,Winter,12,Jan,1997
chic,1997-01-13,3,9.381068454,1.5,34.9910786664,Winter,13,Jan,1997
chic,1997-01-14,10,8.029507614,11.5,64.945402832,Winter,14,Jan,1997
chic,1997-01-15,19,7.066110664,23.25,26.941955217,Winter,15,Jan,1997
chic,1997-01-16,9.5,20.113023168,-9.75,27.022905806,Winter,16,Jan,1997
chic,1997-01-17,-3,15.36389807,-10.375,18.837024998,Winter,17,Jan,1997
chic,1997-01-18,0,12.713223338,-4.125,31.8597396945,Winter,18,Jan,1997
chic,1997-01-19,14,9.616132624,22.625,30.9231675548,Winter,19,Jan,1997
chic,1997-01-20,31,16.840369221,27.25,19.894565517,Winter,20,Jan,1997
chic,1997-01-21,35,12.758676465,41.625,27.882017176,Winter,21,Jan,1997
chic,1997-01-22,36.5,21.0242134479,20.75,18.508762288,Winter,22,Jan,1997
chic,1997-01-23,26,18.665072272,18.75,11.845697535,Winter,23,Jan,1997
chic,1997-01-24,32,7.131937874,29.5,26.687346181,Winter,24,Jan,1997
chic,1997-01-25,14.5,17.167861132,-1.375,16.612824753,Winter,25,Jan,1997
chic,1997-01-26,11,9.960118444,17.125,21.641455217,Winter,26,Jan,1997
chic,1997-01-27,17,9.167350094,8.375,22.672497633,Winter,27,Jan,1997
chic,1997-01-28,2,13.613967239,-6.375,28.10117958,Winter,28,Jan,1997
chic,1997-01-29,8,7.945009134,11,51.776607222,Winter,29,Jan,1997
chic,1997-01-30,16.5,7.660618854,16.375,48.741461505,Winter,30,Jan,1997
chic,1997-01-31,31.5,11.882607711,33.75,24.686328567,Winter,31,Jan,1997
chic,1997-02-01,35,16.67618192,29.666666667,23.784943072,Winter,32,Feb,1997
chic,1997-02-02,36.5,12.032368073,29.625,27.762149858,Winter,33,Feb,1997
chic,1997-02-03,30,21.8495588368,28,21.600928064,Winter,34,Feb,1997
chic,1997-02-04,34.5,10.887549045,32,17.050899563,Winter,35,Feb,1997
chic,1997-02-05,30,14.894030549,24.25,10.157748883,Winter,36,Feb,1997
chic,1997-02-06,26,15.957823953,21.875,15.943085731,Winter,37,Feb,1997
chic,1997-02-07,25.5,14.391243063,23.375,33.0107035062,Winter,38,Feb,1997
chic,1997-02-08,25.5,19.749644676,22.5,14.955908984,Winter,39,Feb,1997
chic,1997-02-09,26,12.397635326,21,30.4104486256,Winter,40,Feb,1997
chic,1997-02-10,27,14.193562031,21.75,23.914813095,Winter,41,Feb,1997
chic,1997-02-11,23.5,20.4923879973,19.5,22.972347342,Winter,42,Feb,1997
chic,1997-02-12,21,23.0919933285,11.6,12.712336175,Winter,43,Feb,1997
chic,1997-02-13,20.5,20.171005353,16.375,22.71983618,Winter,44,Feb,1997
chic,1997-02-14,25.5,15.453239646,23,35.6760005636,Winter,45,Feb,1997
chic,1997-02-15,20,19.526661442,15.25,28.373075633,Winter,46,Feb,1997
chic,1997-02-16,18.5,20.019233672,8.125,15.662429891,Winter,47,Feb,1997
chic,1997-02-17,30,17.29756199,32.625,38.74484747,Winter,48,Feb,1997
chic,1997-02-18,48.5,27.0132754473,41.375,27.597166122,Winter,49,Feb,1997
chic,1997-02-19,37.5,19.055436239,27.5,17.612211418,Winter,50,Feb,1997
chic,1997-02-20,35.5,6.890251524,44.125,29.7688048266,Winter,51,Feb,1997
chic,1997-02-21,36,16.313609994,29.625,7.340320898,Winter,52,Feb,1997
chic,1997-02-22,26,23.0158533113,24.25,7.856716918,Winter,53,Feb,1997
chic,1997-02-23,28,24.9903183167,14.625,7.908914718,Winter,54,Feb,1997
chic,1997-02-24,21.5,18.939317781,10.875,17.834350137,Winter,55,Feb,1997
chic,1997-02-25,25.5,12.526242674,27.125,41.124011859,Winter,56,Feb,1997
chic,1997-02-26,36.5,7.962752864,35,34.0525832879,Winter,57,Feb,1997
chic,1997-02-27,34.5,13.194152625,30.25,19.749349948,Winter,58,Feb,1997
chic,1997-02-28,37.5,15.178614226,36,26.126759112,Winter,59,Feb,1997
chic,1997-03-01,45.5,13.86071666,44,28.129506365,Winter,60,Mar,1997
chic,1997-03-02,35,30.992349061,27.375,9.940940378,Winter,61,Mar,1997
chic,1997-03-03,33.5,29.2608519377,29.375,15.980969988,Winter,62,Mar,1997
chic,1997-03-04,38,15.413874765,28.875,26.03316779,Winter,63,Mar,1997
chic,1997-03-05,33,17.790516469,28.625,31.4241420873,Winter,64,Mar,1997
chic,1997-03-06,26.5,25.0346645371,13.375,26.508442516,Winter,65,Mar,1997
chic,1997-03-07,35.5,18.004314474,35.25,30.5881128454,Winter,66,Mar,1997
chic,1997-03-08,39,30.1122270445,28.25,16.234962739,Winter,67,Mar,1997
chic,1997-03-09,37,15.178621967,32.625,21.209234708,Winter,68,Mar,1997
chic,1997-03-10,44,20.22995016,33.25,26.324619323,Winter,69,Mar,1997
chic,1997-03-11,37,29.9759252248,23.375,20.132702981,Winter,70,Mar,1997
chic,1997-03-12,33.5,30.813734494,25,20.434509433,Winter,71,Mar,1997
chic,1997-03-13,37.5,28.3870203662,30.5,22.483959982,Winter,72,Mar,1997
chic,1997-03-14,26.5,24.6156224895,15.5,18.57903562,Winter,73,Mar,1997
chic,1997-03-15,19,30.738471289,8.375,8.03033619,Winter,74,Mar,1997
chic,1997-03-16,24.5,26.6216096814,23.75,16.93418234,Winter,75,Mar,1997
chic,1997-03-17,45,22.2163629613,33.625,31.866305195,Winter,76,Mar,1997
chic,1997-03-18,33.5,40.204707853,27,18.604512014,Winter,77,Mar,1997
chic,1997-03-19,35.5,28.4945429786,28.875,23.588028497,Winter,78,Mar,1997
chic,1997-03-20,46,24.9482756094,31.875,31.50980485,Winter,79,Mar,1997
chic,1997-03-21,53.5,17.995995725,42.5,58.496763829,Winter,80,Mar,1997
chic,1997-03-22,37.5,27.961548441,28.625,18.609401192,Winter,81,Mar,1997
chic,1997-03-23,32.5,24.7678488655,20.375,15.133759421,Winter,82,Mar,1997
chic,1997-03-24,33,18.61572676,32.375,26.642368225,Winter,83,Mar,1997
chic,1997-03-25,40.5,14.800052119,30,22.716544049,Winter,84,Mar,1997
chic,1997-03-26,44,20.5626157077,36.75,21.770225464,Winter,85,Mar,1997
chic,1997-03-27,60.5,24.3771906693,40.125,46.7639458,Winter,86,Mar,1997
chic,1997-03-28,55.5,10.87255405,53.875,46.799660085,Winter,87,Mar,1997
chic,1997-03-29,43.5,14.850528931,41,22.016394655,Winter,88,Mar,1997
