city,date,death,temp,dewpoint,pm10,o3,time,season,year
chic,1997-01-01,137,36,37.5,13.052268266,5.659256204,3654,Winter,1997
chic,1997-01-02,123,45,47.25,41.948600221,5.525416704,3655,Winter,1997
chic,1997-01-03,127,40,38,27.041750906,6.288547904,3656,Winter,1997
chic,1997-01-04,146,51.5,45.5,25.072572963,7.537758024,3657,Winter,1997
chic,1997-01-05,102,27,11.25,15.343120765,20.7607976377,3658,Winter,1997
chic,1997-01-06,127,17,5.75,9.36465498,14.94087424,3659,Winter,1997
chic,1997-01-07,116,16,7,20.228427832,11.920985459,3660,Winter,1997
chic,1997-01-08,118,19,17.75,33.1348192868,8.678477254,3661,Winter,1997
chic,1997-01-09,148,26,24,12.118380932,13.355891853,3662,Winter,1997
chic,1997-01-10,121,16,5.375,24.761534146,10.448263924,3663,Winter,1997
chic,1997-01-11,110,1.5,-6.625,18.126150978,15.866093735,3664,Winter,1997
chic,1997-01-12,127,1,-8.875,16.013769562,15.115289543,3665,Winter,1997
chic,1997-01-13,129,3,1.5,34.9910786664,9.381068454,3666,Winter,1997
chic,1997-01-14,151,10,11.5,64.945402832,8.029507614,3667,Winter,1997
chic,1997-01-15,128,19,23.25,26.941955217,7.066110664,3668,Winter,1997
chic,1997-01-16,132,9.5,-9.75,27.022905806,20.113023168,3669,Winter,1997
chic,1997-01-17,116,-3,-10.375,18.837024998,15.36389807,3670,Winter,1997
chic,1997-01-18,142,0,-4.125,31.8597396945,12.713223338,3671,Winter,1997
chic,1997-01-19,124,14,22.625,30.9231675548,9.616132624,3672,Winter,1997
chic,1997-01-20,124,31,27.25,19.894565517,16.840369221,3673,Winter,1997
chic,1997-01-21,127,35,41.625,27.882017176,12.758676465,3674,Winter,1997
chic,1997-01-22,121,36.5,20.75,18.508762288,21.0242134479,3675,Winter,1997
chic,1997-01-23,134,26,18.75,11.845697535,18.665072272,3676,Winter,1997
chic,1997-01-24,120,32,29.5,26.687346181,7.131937874,3677,Winter,1997
chic,1997-01-25,109,14.5,-1.375,16.612824753,17.167861132,3678,Winter,1997
chic,1997-01-26,109,11,17.125,21.641455217,9.960118444,3679,Winter,1997
chic,1997-01-27,115,17,8.375,22.672497633,9.167350094,3680,Winter,1997
chic,1997-01-28,105,2,-6.375,28.10117958,13.613967239,3681,Winter,1997
chic,1997-01-29,114,8,11,51.776607222,7.945009134,3682,Winter,1997
chic,1997-01-30,120,16.5,16.375,48.741461505,7.660618854,3683,Winter,1997
chic,1997-01-31,117,31.5,33.75,24.686328567,11.882607711,3684,Winter,1997
chic,1997-02-01,126,35,29.666666667,23.784943072,16.67618192,3685,Winter,1997
chic,1997-02-02,97,36.5,29.625,27.762149858,12.032368073,3686,Winter,1997
chic,1997-02-03,96,30,28,21.600928064,21.8495588368,3687,Winter,1997
chic,1997-02-04,119,34.5,32,17.050899563,10.887549045,3688,Winter,1997
chic,1997-02-05,125,30,24.25,10.157748883,14.894030549,3689,Winter,1997
chic,1997-02-06,116,26,21.875,15.943085731,15.957823953,3690,Winter,1997
chic,1997-02-07,118,25.5,23.375,33.0107035062,14.391243063,3691,Winter,1997
chic,1997-02-08,121,25.5,22.5,14.955908984,19.749644676,3692,Winter,1997
chic,1997-02-09,114,26,21,30.4104486256,12.397635326,3693,Winter,1997
chic,1997-02-10,111,27,21.75,23.914813095,14.193562031,3694,Winter,1997
chic,1997-02-11,107,23.5,19.5,22.972347342,20.4923879973,3695,Winter,1997
chic,1997-02-12,127,21,11.6,12.712336175,23.0919933285,3696,Winter,1997
chic,1997-02-13,98,20.5,16.375,22.71983618,20.171005353,3697,Winter,1997
chic,1997-02-14,104,25.5,23,35.6760005636,15.453239646,3698,Winter,1997
chic,1997-02-15,122,20,15.25,28.373075633,19.526661442,3699,Winter,1997
chic,1997-02-16,124,18.5,8.125,15.662429891,20.019233672,3700,Winter,1997
chic,1997-02-17,120,30,32.625,38.74484747,17.29756199,3701,Winter,1997
chic,1997-02-18,106,48.5,41.375,27.597166122,27.0132754473,3702,Winter,1997
chic,1997-02-19,103,37.5,27.5,17.612211418,19.055436239,3703,Winter,1997
chic,1997-02-20,139,35.5,44.125,29.7688048266,6.890251524,3704,Winter,1997
chic,1997-02-21,133,36,29.625,7.340320898,16.313609994,3705,Winter,1997
chic,1997-02-22,109,26,24.25,7.856716918,23.0158533113,3706,Winter,1997
chic,1997-02-23,121,28,14.625,7.908914718,24.9903183167,3707,Winter,1997
chic,1997-02-24,111,21.5,10.875,17.834350137,18.939317781,3708,Winter,1997
chic,1997-02-25,105,25.5,27.125,41.124011859,12.526242674,3709,Winter,1997
chic,1997-02-26,107,36.5,35,34.0525832879,7.962752864,3710,Winter,1997
chic,1997-02-27,123,34.5,30.25,19.749349948,13.194152625,3711,Winter,1997
chic,1997-02-28,124,37.5,36,26.126759112,15.178614226,3712,Winter,1997
chic,1997-03-01,125,45.5,44,28.129506365,13.86071666,3713,Winter,1997
chic,1997-03-02,108,35,27.375,9.940940378,30.992349061,3714,Winter,1997
chic,1997-03-03,114,33.5,29.375,15.980969988,29.2608519377,3715,Winter,1997
chic,1997-03-04,104,38,28.875,26.03316779,15.413874765,3716,Winter,1997
chic,1997-03-05,120,33,28.625,31.4241420873,17.790516469,3717,Winter,1997
chic,1997-03-06,134,26.5,13.375,26.508442516,25.0346645371,3718,Winter,1997
