country,iso_a3,country_name,continent,region,region_un,year,pop,gdp_pcap,life_exp,income_daily,co2_pcap,fertility
Afghanistan,AFG,Afghanistan,Asia,South Asia,Asia,2022,40600000,1390,62.6,3.17,0.28400000000000003,4.930000000000001
Albania,ALB,Albania,Europe,Europe & Central Asia,Europe,2022,2829999.9999999995,15500,76.1,16.3,2.1,1.36
Algeria,DZA,Algeria,Africa,Middle East & North Africa,Africa,2022,45500000,11200,76.8,9.29,3.88,2.82
Angola,AGO,Angola,Africa,Sub-Saharan Africa,Africa,2022,35600000,5910,64.5,4.71,1.23,5.21
Argentina,ARG,Argentina,Americas,Latin America & Caribbean,Americas,2022,45400000,22400,75.4,22.1,3.8499999999999996,1.48
Australia,AUS,Australia,Oceania,East Asia & Pacific,Oceania,2022,26200000,51200,83.4,67.2,13.9,1.6400000000000001
Austria,AUT,Austria,Europe,Europe & Central Asia,Europe,2022,9060000,56200,82.7,71.8,9.2,1.41
Bahrain,BHR,Bahrain,Asia,Middle East & North Africa,Asia,2022,1530000,51900,76.3,53.2,16,1.84
Bangladesh,BGD,Bangladesh,Asia,South Asia,Asia,2022,169000000,6260,75.5,4.94,0.8440000000000001,2.18
Belgium,BEL,Belgium,Europe,Europe & Central Asia,Europe,2022,11600000,52900,81.9,63.7,16.9,1.55
Benin,BEN,Benin,Africa,Sub-Saharan Africa,Africa,2022,13800000,3440,64,5.26,0.71,4.63
Bolivia,BOL,Bolivia,Americas,Latin America & Caribbean,Americas,2022,12100000,8240,68.9,19.9,1.99,2.58
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,Europe,Europe & Central Asia,Europe,2022,3200000,16800,75,32.4,6.45,1.48
Botswana,BWA,Botswana,Africa,Sub-Saharan Africa,Africa,2022,2440000,15500,62.7,10,5.1,2.79
Brazil,BRA,Brazil,Americas,Latin America & Caribbean,Americas,2022,210000000,15100,73.9,19.6,2.11,1.6300000000000001
Bulgaria,BGR,Bulgaria,Europe,Europe & Central Asia,Europe,2022,6830000,27000,69.9,36.8,5.819999999999999,1.77
Burkina Faso,BFA,Burkina Faso,Africa,Sub-Saharan Africa,Africa,2022,22500000,2160,61.4,4.5,0.306,4.28
