id,season,episode,key,partners,mentions
1,1,1,Ross & Rachel,Ross & Rachel,4
1,1,1,Rachel & Joey,Rachel & Joey,1
2,1,2,Ross & Rachel,Ross & Rachel,1
2,1,2,Ross,Ross & Carol,2
2,1,2,Rachel & Joey,Rachel & Joey,1
2,1,2,Rachel,Rachel & Barry,3
2,1,2,Monica & Chandler,Monica & Chandler,1
5,1,5,Ross & Rachel,Ross & Rachel,3
5,1,5,Ross,Ross & Carol,1
5,1,5,Chandler,Chandler & Janice,2
6,1,6,Monica & Chandler,Monica & Chandler,1
7,1,7,Ross & Rachel,Ross & Rachel,3
7,1,7,Rachel & Joey,Rachel & Joey,2
7,1,7,Rachel,Rachel & Paolo,2
8,1,8,Rachel,Rachel & Paolo,1
10,1,10,Rachel,Rachel & Paolo,1
10,1,10,Phoebe,Phoebe & David,3
11,1,11,Ross & Rachel,Ross & Rachel,3
11,1,11,Rachel & Joey,Rachel & Joey,3
11,1,11,Rachel,Rachel & Paolo,5
11,1,11,Monica & Chandler,Monica & Chandler,1
12,1,12,Ross & Rachel,Ross & Rachel,2
12,1,12,Rachel,Rachel & Paolo,3
13,1,13,Monica & Chandler,Monica & Chandler,1
14,1,14,Ross & Rachel,Ross & Rachel,1
14,1,14,Ross,Ross & Carol,1
14,1,14,Chandler,Chandler & Janice,3
16,1,16,Ross & Rachel,Ross & Rachel,3
16,1,16,Ross,Ross & Carol,2
16,1,16,Rachel & Joey,Rachel & Joey,1
16,1,16,Monica & Chandler,Monica & Chandler,3
17,1,17,Ross & Rachel,Ross & Rachel,6
17,1,17,Rachel,Rachel & Tag,1
17,1,17,Monica & Chandler,Monica & Chandler,4
18,1,18,Ross & Rachel,Ross & Rachel,1
18,1,18,Monica & Chandler,Monica & Chandler,2
19,1,19,Ross & Rachel,Ross & Rachel,2
19,1,19,Rachel,Rachel & Tag,1
20,1,20,Rachel,Rachel & Barry,4
22,1,22,Ross & Rachel,Ross & Rachel,3
22,1,22,Rachel & Joey,Rachel & Joey,1
22,1,22,Monica & Chandler,Monica & Chandler,1
23,1,23,Monica & Chandler,Monica & Chandler,2
24,1,24,Ross & Rachel,Ross & Rachel,6
24,1,24,Ross,Ross & Carol,1
24,1,24,Rachel & Joey,Rachel & Joey,2
24,1,24,Monica & Chandler,Monica & Chandler,2
25,2,1,Ross & Rachel,Ross & Rachel,5
25,2,1,Ross,Ross & Julie,2
25,2,1,Rachel,Rachel & Tag,1
25,2,1,Monica & Chandler,Monica & Chandler,1
26,2,2,Ross & Rachel,Ross & Rachel,3
26,2,2,Ross,Ross & Carol,1
26,2,2,Rachel & Joey,Rachel & Joey,2
26,2,2,Monica & Chandler,Monica & Chandler,3
27,2,3,Monica & Chandler,Monica & Chandler,1
27,2,3,Chandler,Chandler & Janice,2
28,2,4,Ross & Rachel,Ross & Rachel,1
28,2,4,Ross,Ross & Julie,4
29,2,5,Rachel & Joey,Rachel & Joey,1
31,2,7,Ross & Rachel,Ross & Rachel,3
31,2,7,Ross,Ross & Julie,1
31,2,7,Rachel & Joey,Rachel & Joey,1
31,2,7,Monica & Chandler,Monica & Chandler,3
32,2,8,Ross & Rachel,Ross & Rachel,4
32,2,8,Ross,Ross & Julie,2
32,2,8,Rachel & Joey,Rachel & Joey,1
32,2,8,Monica & Chandler,Monica & Chandler,2
33,2,9,Ross & Rachel,Ross & Rachel,3
33,2,9,Rachel & Joey,Rachel & Joey,4
33,2,9,Monica & Chandler,Monica & Chandler,4
34,2,10,Ross & Rachel,Ross & Rachel,1
34,2,10,Rachel & Joey,Rachel & Joey,1
34,2,10,Monica & Chandler,Monica & Chandler,3
35,2,11,Ross,Ross & Carol,3
36,2,12,Rachel & Joey,Rachel & Joey,2
36,2,12,Monica & Chandler,Monica & Chandler,3
37,2,13,Rachel,Rachel & Barry,1
38,2,14,Ross & Rachel,Ross & Rachel,3
38,2,14,Monica & Chandler,Monica & Chandler,1
39,2,15,Ross & Rachel,Ross & Rachel,5
39,2,15,Rachel,Rachel & Tag,1
39,2,15,Monica & Chandler,Monica & Chandler,1
40,2,16,Rachel & Joey,Rachel & Joey,1
40,2,16,Monica & Chandler,Monica & Chandler,1
40,2,16,Monica,Monica & Richard,4
41,2,17,Ross & Rachel,Ross & Rachel,6
41,2,17,Monica & Chandler,Monica & Chandler,2
42,2,18,Ross & Rachel,Ross & Rachel,4
42,2,18,Rachel & Joey,Rachel & Joey,1
42,2,18,Monica,Monica & Richard,4
